Frame:321 FPS:20.6652 iou:0.608803
Frame:322 FPS:21.2458 iou:0.536406
Frame:323 FPS:24.3629 iou:0.535951
Frame:324 FPS:30.8991 iou:0.496471
Frame:325 FPS:18.8061 iou:0.525872
Frame:326 FPS:19.0209 iou:0.65071
Frame:327 FPS:31.3266 iou:0.661547
Frame:328 FPS:30.2731 iou:0.618808
Frame:329 FPS:30.6607 iou:0.52796
Frame:330 FPS:30.6538 iou:0.477272
Frame:331 FPS:19.2844 iou:0.479855
Frame:332 FPS:18.9451 iou:0.575395
Frame:333 FPS:31.3871 iou:0.610744
Frame:334 FPS:31.127 iou:0.630228
Frame:335 FPS:30.838 iou:0.594025
Frame:336 FPS:30.6931 iou:0.608225
Frame:337 FPS:18.991 iou:0.588155
Frame:338 FPS:18.9713 iou:0.544333
Frame:339 FPS:31.1207 iou:0.544732
Frame:340 FPS:30.8116 iou:0.561162
Frame:341 FPS:30.7861 iou:0.626632
Frame:342 FPS:30.8655 iou:0.628433
Frame:343 FPS:19.4454 iou:0.637698
Frame:344 FPS:20.2853 iou:0.631956
Frame:345 FPS:20.8773 iou:0.62334
Frame:346 FPS:21.187 iou:0.62732
Frame:347 FPS:30.4716 iou:0.694264
Frame:348 FPS:30.0692 iou:0.667849
Frame:349 FPS:27.2495 iou:0.686182
Frame:350 FPS:26.9339 iou:0.685723
Frame:351 FPS:27.6073 iou:0.643399
Frame:352 FPS:29.0752 iou:0.682097
Frame:353 FPS:30.3719 iou:0.625604
Frame:354 FPS:28.4695 iou:0.665842
Frame:355 FPS:18.9976 iou:0.643059
Frame:356 FPS:20.2811 iou:0.651173
Frame:357 FPS:21.6263 iou:0.679138
Frame:358 FPS:30.8364 iou:0.704693
Frame:359 FPS:30.1226 iou:0.730016
Frame:360 FPS:30.7155 iou:0.728196
Frame:361 FPS:18.7462 iou:0.704359
Frame:362 FPS:19.281 iou:0.726699
Frame:363 FPS:29.9884 iou:0.729095
Frame:364 FPS:29.9319 iou:0.718171
Frame:365 FPS:29.7705 iou:0.661431
Frame:366 FPS:29.4732 iou:0.656709
Frame:367 FPS:18.9474 iou:0.657791
Frame:368 FPS:19.2045 iou:0.614927
Frame:369 FPS:30.2646 iou:0.645373
Frame:370 FPS:30.2633 iou:0.640205
Frame:371 FPS:31.5548 iou:0.585702
Frame:372 FPS:30.2341 iou:0.608437
Frame:373 FPS:18.8743 iou:0.602321
Frame:374 FPS:18.9927 iou:0.60632
Frame:375 FPS:30.2845 iou:0.600436
Frame:376 FPS:30.4123 iou:0.619145
Frame:377 FPS:30.8554 iou:0.615331
Frame:378 FPS:29.9751 iou:0.615383
Frame:379 FPS:18.6666 iou:0.618176
Frame:380 FPS:19.1023 iou:0.618607
Frame:381 FPS:30.282 iou:0.641964
Frame:382 FPS:30.549 iou:0.6514
Frame:383 FPS:30.5712 iou:0.664989
Frame:384 FPS:29.6205 iou:0.68921
Frame:385 FPS:18.69 iou:0.662476
Frame:386 FPS:18.8821 iou:0.659917
Frame:387 FPS:29.8689 iou:0.63497
Frame:388 FPS:30.5449 iou:0.63664
Frame:389 FPS:30.2628 iou:0.679542
Frame:390 FPS:29.6528 iou:0.675057
Frame:391 FPS:18.7892 iou:0.676028
Frame:392 FPS:18.9763 iou:0.681819
Frame:393 FPS:30.1882 iou:0.669089
Frame:394 FPS:31.0181 iou:0.617845
Frame:395 FPS:29.5684 iou:0.636574
Frame:396 FPS:30.3912 iou:0.58973
Frame:397 FPS:28.5911 iou:0.583933
Frame:398 FPS:26.9323 iou:0.60491
Frame:399 FPS:28.7647 iou:0.606917
Frame:400 FPS:30.8009 iou:0.607759
Frame:401 FPS:29.7819 iou:0.644079
Frame:402 FPS:30.6274 iou:0.650756
Frame:403 FPS:18.6113 iou:0.656325
Frame:404 FPS:19.013 iou:0.609973
Frame:405 FPS:30.0841 iou:0.605002
Frame:406 FPS:30.4 iou:0.601086
Frame:407 FPS:29.3208 iou:0.592246
Frame:408 FPS:30.3746 iou:0.584186
Frame:409 FPS:18.7265 iou:0.583704
Frame:410 FPS:18.7626 iou:0.598736
Frame:411 FPS:31.0246 iou:0.604108
Frame:412 FPS:30.6703 iou:0.599649
Frame:413 FPS:30.4697 iou:0.601426
Frame:414 FPS:30.4871 iou:0.616844
Frame:415 FPS:19.1653 iou:0.646775
Frame:416 FPS:18.1179 iou:0.609714
Frame:417 FPS:31.1334 iou:0.616753
Frame:418 FPS:30.4545 iou:0.629929
Frame:419 FPS:30.6899 iou:0.648203
Frame:420 FPS:29.3037 iou:0.66065
Frame:421 FPS:19.101 iou:0.646931
Frame:422 FPS:19.1802 iou:0.647797
Frame:423 FPS:31.1572 iou:0.627415
Frame:424 FPS:30.9383 iou:0.634573
Frame:425 FPS:30.3841 iou:0.573231
Frame:426 FPS:30.5321 iou:0.598213
Frame:427 FPS:19.0307 iou:0.59442
Frame:428 FPS:18.8846 iou:0.63573
Frame:429 FPS:30.8719 iou:0.652611
Frame:430 FPS:30.4189 iou:0.652174
Frame:431 FPS:30.217 iou:0.694131
Frame:432 FPS:30.7009 iou:0.689515
Frame:433 FPS:18.8172 iou:0.666648
Frame:434 FPS:19.9519 iou:0.656245
Frame:435 FPS:20.825 iou:0.641604
Frame:436 FPS:20.9834 iou:0.641608
Frame:437 FPS:29.491 iou:0.644786
Frame:438 FPS:29.2463 iou:0.656485
Frame:439 FPS:18.5894 iou:0.663903
Frame:440 FPS:19.0965 iou:0.655554
Frame:441 FPS:30.0868 iou:0.651591
Frame:442 FPS:29.9361 iou:0.649052
Frame:443 FPS:30.7327 iou:0.630021
Frame:444 FPS:29.7922 iou:0.613022
Frame:445 FPS:18.5046 iou:0.603671
Frame:446 FPS:18.9475 iou:0.576599
Frame:447 FPS:29.6995 iou:0.564311
Frame:448 FPS:31.2995 iou:0.602281
Frame:449 FPS:29.7188 iou:0.6197
Frame:450 FPS:29.2119 iou:0.651323
Frame:451 FPS:18.8028 iou:0.647655
Frame:452 FPS:19.3072 iou:0.662829
Frame:453 FPS:30.8091 iou:0.653167
Frame:454 FPS:30.852 iou:0.650162
Frame:455 FPS:30.262 iou:0.657319
Frame:456 FPS:29.7262 iou:0.668016
Frame:457 FPS:18.5168 iou:0.648179
Frame:458 FPS:18.9034 iou:0.654549
Frame:459 FPS:29.4804 iou:0.61815
Frame:460 FPS:30.7528 iou:0.638608
Frame:461 FPS:31.081 iou:0.653822
Frame:462 FPS:29.3816 iou:0.682283
Frame:463 FPS:18.7518 iou:0.643986
Frame:464 FPS:19.2828 iou:0.66991
Frame:465 FPS:30.144 iou:0.646089
Frame:466 FPS:30.0188 iou:0.632347
Frame:467 FPS:30.8443 iou:0.640546
Frame:468 FPS:29.3182 iou:0.631626
Frame:469 FPS:18.7752 iou:0.638016
Frame:470 FPS:18.5854 iou:0.704262
Frame:471 FPS:28.5118 iou:0.721312
Frame:472 FPS:30.4299 iou:0.693284
Frame:473 FPS:30.7888 iou:0.675313
Frame:474 FPS:30.2253 iou:0.631545
Frame:475 FPS:28.1531 iou:0.646422
Frame:476 FPS:26.9697 iou:0.653146
Frame:477 FPS:27.6755 iou:0.640559
Frame:478 FPS:31.3243 iou:0.639131
Frame:479 FPS:30.0928 iou:0.692
Frame:480 FPS:30.678 iou:0.675097
Frame:481 FPS:19.2203 iou:0.667705
Frame:482 FPS:20.0631 iou:0.591457
Frame:483 FPS:20.7266 iou:0.584834
Frame:484 FPS:30.7317 iou:0.566565
Frame:485 FPS:29.4414 iou:0.591395
Frame:486 FPS:29.8073 iou:0.571563
Frame:487 FPS:18.4105 iou:0.623284
Frame:488 FPS:19.1423 iou:0.587817
Frame:489 FPS:29.4109 iou:0.562412
Frame:490 FPS:29.5742 iou:0.583797
Frame:491 FPS:30.6122 iou:0.623157
Frame:492 FPS:29.5974 iou:0.607659
Frame:493 FPS:18.4191 iou:0.577044
Frame:494 FPS:18.921 iou:0.531253
Frame:495 FPS:30.1698 iou:0.564848
Frame:496 FPS:30.4279 iou:0.569938
Frame:497 FPS:30.8568 iou:0.540514
Frame:498 FPS:29.5676 iou:0.535244
Frame:499 FPS:19.2026 iou:0.500983
Frame:500 FPS:20.0348 iou:0.503207
Frame:501 FPS:20.8907 iou:0.464521
Frame:502 FPS:22.1054 iou:0.459091
Frame:503 FPS:29.6354 iou:0.438409
Frame:504 FPS:29.063 iou:0.477358
Frame:505 FPS:18.6009 iou:0.509049
Frame:506 FPS:19.0806 iou:0.470166
Frame:507 FPS:30.1569 iou:0.528734
Frame:508 FPS:30.8071 iou:0.521148
Frame:509 FPS:27.9369 iou:0.505401
